User ID, Created,Ethnicity,Gender,Age range, Device type, Region, Respondent ID,Q(1) What does money mean to you?,Q(1) Sentiment [Question: What does money mean to you?],Q(2) What makes managing your money easier?,Q(2) Sentiment [Question: What makes managing your money easier?],Q(3) What tricks help you make your money last?,Q(3) Sentiment [Question: What tricks help you make your money last?]
aOkQRxGadn4y,2025-03-12T16:40:06+00:00,Hispanic/Latino,Female,69,iOS,US,aOkQRxGadn4y,Freedom to do fun activities,0.80,A plan,0.00,Put it in envelopes,-0.10
aJnWx5e6OlDb,2025-03-12T16:42:04+00:00,Hispanic/Latino,Female,42,Android,US,aJnWx5e6OlDb,Having money for my family,0.50,Saving money and only buying what I needl,0.70,Only using it for what I need,0.20
2vlzQJLpBnGp,2025-03-12T16:42:06+00:00,Hispanic/Latino,Female,51,Android,US,2vlzQJLpBnGp,Money is a way for me to get things I need and that I want,0.30,It makes it easy just to easily see how much money I have and where it's all going,0.80,I always look for coupons and apps that help me save money,0.90
Xgl59Rwy5l8Q,2025-03-12T16:42:11+00:00,Hispanic/Latino,Female,37,Android,US,Xgl59Rwy5l8Q,It's a necessity to live,0.70,Having a set Budget,0.10,Not going out as much,-0.20
JGnJVAwGJnbx,2025-03-12T16:48:21+00:00,Hispanic/Latino,Male,24,iOS,US,JGnJVAwGJnbx,It means nothing,-0.70,Having it available,0.10,Nothing. I live in America.,-0.30
WJkgoPpRZkPd,2025-03-12T16:48:38+00:00,Hispanic/Latino,Male,29,iOS,US,WJkgoPpRZkPd,Mean survive in a spencil word,-0.40,Get habits to don apend more than you win,-0.20,Write all spends every day and don’t spend more than I win,0.00
rYkvNVobdkmx,2025-03-12T16:51:56+00:00,Hispanic/Latino,Male,46,iOS,US,rYkvNVobdkmx,Money is evil.,-0.80,Not spending it on nonsense,-0.10,Have a bank account and lock up the debit card,-0.30
WJkgBZZrY7Pd,2025-03-12T16:53:01+00:00,Hispanic/Latino,Female,53,Android,US,WJkgBZZrY7Pd,Security safety,0.50,Having lots,0.50,Live frugally,0.60
apkDZ9yerl3E,2025-03-12T17:00:29+00:00,Hispanic/Latino,Male,35,iOS,US,apkDZ9yerl3E,A means to support myself,0.40,Apps and making awareness of your finances a stating point,0.40,Buying stuff that you absolutely need,0.80
GxkV96MEK7bN,2025-03-12T17:31:42+00:00,Hispanic/Latino,Male,39,Android,US,GxkV96MEK7bN,Being able to survive and eat,0.50,Writing down bills and expenses,0.00,Only spend when I need to,0.30
MjnZPDe9A7wP,2025-03-12T17:58:32+00:00,Hispanic/Latino,Male,39,Android,US,MjnZPDe9A7wP,A way to sustain and maintain myself,0.30,Being able to budget my living expenses,0.80,Eat more at home and buy groceries when on special deals,0.60
Xgl5o9G6vk8Q,2025-03-12T18:18:29+00:00,Hispanic/Latino,Male,37,Android,US,Xgl5o9G6vk8Q,A terrible necessity,-0.60,I use my pc to manage my money,0.00,I write down everything,0.10
eLnB85pMz7o8,2025-03-12T18:45:07+00:00,Hispanic/Latino,Female,37,Android,US,eLnB85pMz7o8,Survival,0.10,Budgeting and making sure I don't go over what I have,-0.30,Well budgeting helps lol,0.90
MjnZPNYbR7wP,2025-03-12T18:49:59+00:00,Hispanic/Latino,Male,45,Android,US,MjnZPNYbR7wP,It means security and health; and the ability to afford personal products.,0.40,Using a calendar and reviewing statement balances.,-0.10,Spending less on eating out.,0.50
JGnJVGAG5nbx,2025-03-12T18:50:46+00:00,Hispanic/Latino,Female,47,Android,US,JGnJVGAG5nbx,It's what I need to live,0.90,Saving for something specific,0.30,Counting up everything I save,-0.30
rYkvwErdxnmx,2025-03-12T19:11:58+00:00,Hispanic/Latino,Female,24,Android,US,rYkvwErdxnmx,Freedom,0.30,Keeping a budget,0.00,Putting it in a savings account,0.30
wNko4v92rnBL,2025-03-12T19:50:34+00:00,Hispanic/Latino,Female,40,Android,US,wNko4v92rnBL,Income;source; funding ;stability the ability to pay bills,0.30,Having it and not lacking,0.70,Having it and not spending a lot of it saving it,0.50
apkDZx4gDl3E,2025-03-12T19:58:09+00:00,Hispanic/Latino,Female,22,Android,US,apkDZx4gDl3E,Everything; life,0.70,Having money pots in my bank; transactions going through immediately,0.80,Buying sale and clearance,0.20
RE7Lze0VJn0v,2025-03-12T19:59:15+00:00,Hispanic/Latino,Male,32,Android,US,RE7Lze0VJn0v,Fake paper,-0.80,High income,0.30,Buy Bitcoin,0.10
eLnBqDmeako8,2025-03-12T20:28:42+00:00,Hispanic/Latino,Female,16,Android,US,eLnBqDmeako8,A way to pay for emergencies and luxeries,0.00,Online apps,0.00,Credit cards,0.00
3gkxNxRoBlWq,2025-03-13T03:43:15+00:00,Hispanic/Latino,Male,38,Android,US,3gkxNxRoBlWq,Scarcity assets that increase in value over time,-0.10,Not spending it,-0.70,Not spending it,-0.70
XQnwRNow3kP2,2025-03-13T14:47:15+00:00,Hispanic/Latino,Female,34,Android,US,XQnwRNow3kP2,It means bills will get paid,0.00,Not having to control it,0.00,Hiding it from myself,-0.10
Zz7bowbaWkgY,2025-03-13T15:29:36+00:00,Hispanic/Latino,Female,52,iOS,US,Zz7bowbaWkgY,Money means the means to get what I need.,0.60,I have a budget that makes managing money .,0.00,Having a well planned budget helps me make my money last.,0.90
1GnjNopM8nDA,2025-03-13T15:36:41+00:00,Hispanic/Latino,Female,39,iOS,US,1GnjNopM8nDA,It's what life revolves around unfortunately,-0.30,Having money to manage,0.10,I budget as much as I can and then try my hardest to stick to it,0.00
p6n1jNPr8lD2,2025-03-13T15:45:43+00:00,Hispanic/Latino,Female,56,Android,US,p6n1jNPr8lD2,Happiness,0.90,Financial plans  Stability,0.30,Saving,0.60
rYkvwDrE6nmx,2025-03-13T16:57:50+00:00,Hispanic/Latino,Male,30,iOS,US,rYkvwDrE6nmx,It means what we use to live everyday,0.10,I usually save it unless I need something,0.00,Decide if I can find someway to accomplish or do something for cheaper,-0.20
gK7y66Bzpkae,2025-03-13T21:08:37+00:00,Hispanic/Latino,Male,20,iOS,US,gK7y66Bzpkae,Really good,0.90,Really good,0.90,Really good,0.90
RE7LzNEN3n0v,2025-03-13T21:08:58+00:00,Hispanic/Latino,Male,24,iOS,US,RE7LzNEN3n0v,Something I use to get things I want or need,0.20,By being patient with the money I get,0.30,By being patient and save most of it,0.50
RE7LZ8JmJn0v,2025-03-13T21:09:00+00:00,Hispanic/Latino,Male,34,iOS,US,RE7LZ8JmJn0v,Money means freedom,0.40,Making lists and sticking to a budget,0.00,Staying on budget,0.00
MqkKdbjDAn91,2025-03-13T21:09:18+00:00,Hispanic/Latino,Male,27,iOS,US,MqkKdbjDAn91,it means a way to live my daily life,0.60,setting up a budget,0.00,I don’t know,-0.20
4N7MJxNXrkjE,2025-03-13T21:09:19+00:00,Hispanic/Latino,Female,32,Android,US,4N7MJxNXrkjE,Freedom and choices to do what I want,0.80,An Excel sheet with basic costs and not getting into the nitty gritty,-0.10,Knowing what my income is and what fix costs I have,0.10
G0lA6VDLj7Pj,2025-03-13T21:09:38+00:00,Hispanic/Latino,Male,35,iOS,US,G0lA6VDLj7Pj,Finances needed to live,0.00,Budgeting out a little bit,-0.20,Being a smarter shopper,0.50
P2nY9GBQ0n90,2025-03-13T21:09:39+00:00,Hispanic/Latino,Male,30,iOS,US,P2nY9GBQ0n90,That I can live a less stressful life if I had more,-0.10,Checking on my Banking apps,0.00,Do not buy things I don’t need,-0.80
eLnBqwJ4zko8,2025-03-13T21:09:41+00:00,Hispanic/Latino,Male,40,iOS,US,eLnBqwJ4zko8,Freedim,0.30,Ai,0.00,Ai,0.00
Xgl5o9RzGk8Q,2025-03-13T21:11:00+00:00,Hispanic/Latino,Male,20,Android,US,Xgl5o9RzGk8Q,It only has a purpose as a means to get by. Nothing more; nothing less,-0.30,Realizing that the time spent working for it is money that is valuable,0.50,Making a budget; not going out to eat all the time,0.10
8rndN6vBE7MP,2025-03-13T21:40:31+00:00,Hispanic/Latino,Male,25,Android,US,8rndN6vBE7MP,A way to happiness and a fulfilling life ie medicine,0.80,Acting like a cheapskate,-0.60,Hating yourself right after a pirchase,-0.90
MqkKEVWVXl91,2025-03-13T23:37:12+00:00,Hispanic/Latino,Male,38,Android,US,MqkKEVWVXl91,Freedom to do things,0.50,Having a budget and goals,0.00,Reviewing and learning about ways to improve,0.10
4N7MJxBggkjE,2025-03-13T23:37:22+00:00,Hispanic/Latino,Male,31,iOS,US,4N7MJxBggkjE,Opportunity,0.20,Knowing how I’m spending it,0.40,Setting a budget,0.00
qwneW54Gm75r,2025-03-13T23:37:22+00:00,Hispanic/Latino,Female,28,iOS,US,qwneW54Gm75r,Comfortably,0.90,Having enough,0.20,Don’t splurge,-0.70
eLnBqwL9Nko8,2025-03-13T23:37:38+00:00,Hispanic/Latino,Female,16,iOS,US,eLnBqwL9Nko8,It’s simply a currency that people who deserve will have,0.10,Not sure; I think seeing it visibly and seeing how much I have,0.10,Not sure,-0.20
rYkvNV90Okmx,2025-03-13T23:38:03+00:00,Hispanic/Latino,Female,32,Android,US,rYkvNV90Okmx,Survival,0.10,It would be nice to get my credit card tips on my paycheck,0.00,Meal prepping,0.00
Bp7P3BOEOl2x,2025-03-13T23:39:54+00:00,Hispanic/Latino,Female,31,Android,US,Bp7P3BOEOl2x,Freedom,0.30,Excel,0.80,Budgeting,0.00
PLlXYRppQ7pv,2025-03-13T23:41:25+00:00,Hispanic/Latino,Female,20,Android,US,PLlXYRppQ7pv,A means to live,0.20,Budgeting,0.00,Couponing,0.30
2OkaLg4J67am,2025-03-13T23:46:02+00:00,Hispanic/Latino,Female,32,Android,US,2OkaLg4J67am,It means security,0.10,Having good money management,0.90,Staying home and not making unnecessary purchases,0.80
dKk90EXxb7oe,2025-03-13T23:49:08+00:00,Hispanic/Latino,Male,24,Android,US,dKk90EXxb7oe,Everything,0.40,Getting job,0.10,Not spending,-0.70
G0lA8meNXnPj,2025-03-13T23:55:49+00:00,Hispanic/Latino,Male,43,Android,US,G0lA8meNXnPj,Choices,0.10,The internet,-0.10,More money,0.00
aOkQRZR0wn4y,2025-03-13T23:56:30+00:00,Hispanic/Latino,Male,44,Android,US,aOkQRZR0wn4y,Only good necessarily needs in life,0.00,Debit card,0.00,Savings,0.80
2vlz3bYQO7Gp,2025-03-14T03:12:48+00:00,Hispanic/Latino,Female,36,iOS,US,2vlz3bYQO7Gp,Having some freedom and stability,0.20,Spending less on non essentials,-0.20,Starting a budget,0.00
wNkoZ9Kr97BL,2025-03-14T04:39:55+00:00,Hispanic/Latino,Female,46,iOS,US,wNkoZ9Kr97BL,Everything for what you need and want,0.90,Having more money to work with,0.00,Give yourself a spending limit. Put some in a bank that you don’t have a debit card and can only get the money if you go into the bank,-0.70
aXk4dv5mZkJW,2025-03-14T09:45:12+00:00,Hispanic/Latino,Male,25,Android,US,aXk4dv5mZkJW,It's a means of exerting will of man; through capitalistic functions,0.00,Having none of it to spend.,-0.50,Wants are a human thing; and we should strive for better.,-0.20
6KnNyabYKkW2,2025-03-14T21:12:51+00:00,Hispanic/Latino,Male,34,Android,US,6KnNyabYKkW2,Money means everything to me. It sometimes might mean happiness,0.00,Knowing about money and using the 20/30/10 rule,-0.10,Using 20/30 rule,0.00
GxkV94Gom7bN,2025-03-14T21:34:05+00:00,Hispanic/Latino,Male,29,Android,US,GxkV94Gom7bN,Freedom,0.30,Excel,0.80,Budgeting,0.00
v6n3dPWrvl3Z,2025-03-14T21:34:16+00:00,Hispanic/Latino,Female,26,iOS,US,v6n3dPWrvl3Z,Stability and life goals being achievable,0.80,The idea that it is bountiful,0.30,Having cash,0.20
P2nY20640l90,2025-03-14T21:34:20+00:00,Hispanic/Latino,Female,36,iOS,US,P2nY20640l90,It means i can buy things and pay my bills.,0.60,Not spending my money.,-0.60,Not spending my money in food.,-0.70
aXk4dbeNpkJW,2025-03-14T21:34:20+00:00,Hispanic/Latino,Female,18,iOS,US,aXk4dbeNpkJW,Nothing just paper,-0.10,Keeping it in the bank,0.00,Idk,0.30
4N7MPA3jGljE,2025-03-14T21:34:33+00:00,Hispanic/Latino,Female,47,iOS,US,4N7MPA3jGljE,Freedom to not be as stressed.,-0.20,A spreadsheet,0.00,Being very frugal,-0.20
6KnNyPqmYkW2,2025-03-14T21:34:48+00:00,Hispanic/Latino,Female,39,iOS,US,6KnNyPqmYkW2,Nothing really; except needed to live,-0.40,Pretend you're broke,-0.70,Pretend you don't hav any,-0.60
2vlzQKpABnGp,2025-03-14T21:35:03+00:00,Hispanic/Latino,Male,37,iOS,US,2vlzQKpABnGp,It’s just a means to survive,-0.30,Knowing when to spend and not spend,0.00,Putting it into a savings account,0.30
aOkQRPagOn4y,2025-03-14T21:35:04+00:00,Hispanic/Latino,Male,30,iOS,US,aOkQRPagOn4y,It means safety,0.30,I think not spending money helps,-0.50,I hide the money,0.10
rYkvwNOLxnmx,2025-03-14T21:35:15+00:00,Hispanic/Latino,Female,43,iOS,US,rYkvwNOLxnmx,It means I can eat today,0.00,Someone else handing it 4 me,-0.40,Putting it in someone else’s hands,-0.60
WKn02yE547vA,2025-03-14T21:35:16+00:00,Hispanic/Latino,Male,41,Android,US,WKn02yE547vA,Ability to pay for goods and services,0.10,Setting budgets,0.00,Setting budgets; being frugal; buying only necessities,0.00
p0lOa00Rvk8N,2025-03-14T21:36:24+00:00,Hispanic/Latino,Male,47,Android,US,p0lOa00Rvk8N,Money is a means to live our life,0.00,Having a lot of money.,0.20,Coupon clipping.   Shopping around for bargains.,0.10
XQnwYPwp47P2,2025-03-14T21:37:23+00:00,Hispanic/Latino,Male,36,iOS,US,XQnwYPwp47P2,A necessary evil,-0.70,Budgeting sheets,0.00,Limiting my spend on consumerist items,-0.60
2rlr9a2aen8W,2025-03-14T21:39:22+00:00,Hispanic/Latino,Male,34,Android,US,2rlr9a2aen8W,Money means financial stability,0.50,Managing my money is easy when I keep track of expenses,0.90,To try to pay off bills on time and avoid late fees,0.30
eLnB8EeeG7o8,2025-03-14T21:39:35+00:00,Hispanic/Latino,Female,71,iOS,US,eLnB8EeeG7o8,It is a means to survive but also to enjoy life in a moderate way.,0.50,Using the bank apps help to keep up with my accounts,0.20,I like to buy food in bulk so I don't have to go to the store as often,0.90
2vlzQBAAenGp,2025-03-14T21:53:07+00:00,Hispanic/Latino,Female,30,iOS,US,2vlzQBAAenGp,Everything,0.40,N/A,-0.20,Save up,0.00
4N7MPDyrQljE,2025-03-14T21:58:44+00:00,Hispanic/Latino,Female,37,iOS,US,4N7MPDyrQljE,Estability,0.30,Save money,0.80,Work hagard,0.10
MJkGZoEJN7bx,2025-03-14T22:02:37+00:00,Hispanic/Latino,Female,30,iOS,US,MJkGZoEJN7bx,Opportunities,0.30,Thinking of different strategies,0.20,Not thinking about it,-0.50
qVlp9851O7A5,2025-03-14T22:36:42+00:00,Hispanic/Latino,Female,39,Android,US,qVlp9851O7A5,Financial power.,0.00,Having apps that track spending and spacing due dates of bills so they don't all fall on the same day.,0.10,Cut down impulse shopping. Stay away from stores. Add items to cart online but only purchase if they go on sale and I still really want it.,-0.20
v6n3x8O2Ml3Z,2025-03-15T00:31:09+00:00,Hispanic/Latino,Female,19,iOS,US,v6n3x8O2Ml3Z,It means the way the I can get to live comfortably,0.90,My dad!,0.30,Not spending my money,-0.70
GxkV9vd4r7bN,2025-03-15T00:38:27+00:00,Hispanic/Latino,Female,33,iOS,US,GxkV9vd4r7bN,Money means security,0.30,Planning and budgeting,0.00,Budgeting and looking for good deals.,0.40
aOkQbgPddn4y,2025-03-15T01:02:30+00:00,Hispanic/Latino,Female,28,iOS,US,aOkQbgPddn4y,Money means happiness,0.80,Write down all my bills,-0.10,Putting it in a high yield savings account,0.50
XQnwY0pWL7P2,2025-03-15T01:15:38+00:00,Hispanic/Latino,Female,39,Android,US,XQnwY0pWL7P2,Security,0.30,Having enough,0.20,Savings,0.80
XOlEjjxpG7gp,2025-03-15T01:54:54+00:00,Hispanic/Latino,Male,58,iOS,US,XOlEjjxpG7gp,Great living,0.90,Budgeting,0.00,Smart spending,0.40
Zz7brYbLM7gY,2025-03-15T02:30:36+00:00,Hispanic/Latino,Female,34,iOS,US,Zz7brYbLM7gY,Survival and delights,0.60,Apps,0.20,Apps and setting notifications,-0.20
